id_mpio_postal;zona_postal;codigo_postal;id_mpio
866;1330;133028;13440
867;1910;191047;19698
868;2340;234039;23580
869;1960;196030;19809
870;5010;501021;50226
871;1950;195017;19100
872;9720;972048;97666
873;1530;153037;15761
874;2506;250640;25745
875;5465;546552;54498
876;1760;176048;17524
877;7070;707057;70823
878;2520;252001;25053
879;2534;253449;25320
880;4450;445007;44874
881;7620;762027;76147
882;6340;634007;63272
883;1325;132519;13430
884;5040;504061;50711
885;6800;680007;68001
886;1955;195538;19075
887;1915;191529;19455
888;5460;546077;54003
889;530;53048;5690
890;9700;970008;97001
891;5050;505007;50330
892;4770;477047;47675
893;2514;251407;25530
894;1300;130027;13001
895;6825;682509;68464
896;1534;153407;15599
897;500;50004;5001
898;1518;151820;15533
899;2522;252248;25743
900;518;51868;5686
901;2740;274010;27361
902;7605;760518;76377
903;530;53028;5890
904;2345;234508;23807
905;544;54448;5197
906;4760;476007;47258
907;7600;760023;76001
908;1300;130014;13001
909;2500;250030;25430
910;500;50006;5001
911;5440;544070;54480
912;8530;853057;85230
913;9160;916017;91430
914;1935;193579;19256
915;2770;277050;27099
916;1526;152601;15660
917;8550;855057;85300
918;7600;760035;76001
919;6875;687577;68406
920;1315;131540;13140
921;1542;154220;15293
922;5250;525067;52435
923;9430;943019;94887
924;7050;705039;70215
925;500;50043;5001
926;7355;735507;73504
927;2534;253420;25592
928;5240;524009;52215
929;1530;153057;15322
930;548;54827;5756
931;9910;991019;99773
932;2532;253217;25328
933;2518;251847;25594
934;4140;414009;41306
935;6835;683557;68755
936;2510;251040;25772
937;4720;472027;47288
938;6815;681501;68162
939;6845;684507;68324
940;7010;701050;70418
941;2534;253447;25320
942;2500;250078;25740
943;6875;687517;68615
944;8520;852050;85263
945;2010;201010;20238
946;830;83080;8520
947;4700;470017;47001
948;4150;415040;41518
949;4780;478048;47570
950;1103;110311;11001
951;6820;682021;68684
952;7615;761558;76622
953;6820;682041;68229
954;1534;153440;15189
